"AGE";"EC_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"UNIT_MEASURE";"CONF_STATUS";"DECIMALS";"OBS_STATUS";"OBS_STATUS_FR";"UNIT_MULT";"TIME_PERIOD";"OBS_VALUE"
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1988;14.2
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2003-12;12.5
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";1988;11.2
"_T";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2017;167
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1997-04;13.1
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1988;14.1
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1985;13
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2007;213
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2004;11.9
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1990;13.5
"_T";"FERIND";"A";"41";"DEP";"PT";"F";"0";"A";"D";"0";2018;190
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";1987;15.3
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2002;10.4
"_T";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2010;208
"_T";"FERIND";"A";"31";"DEP";"PT";"F";"0";"A";"D";"0";2019;161
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2013-02;12.1
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2007;216
"_T";"BRTHRT";"A";"76";"REG";"PM";"F";"1";"A";"D";"0";2013;10.9
"Y35T48";"FERIND";"A";"84";"DEP";"PT";"F";"0";"A";"D";"0";2019;45
"_T";"BRTHRT";"A";"974";"DEP";"PM";"F";"1";"A";"D";"0";2017;16
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1987;12.7
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1993;11.3
"_T";"BRTHRT";"A";"18";"DEP";"PM";"F";"1";"A";"D";"0";2003;10.5
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2010;197
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";1990;10.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2013-03;11.7
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2009;213
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";1983;182
"_T";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2011;207
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2004-03;11.9
"_T";"BRTHRT";"A";"974";"DEP";"PM";"F";"1";"A";"D";"0";2018;15.6
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1988;12.5
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2006;11.7
"_T";"BRTHRT";"A";"974";"DEP";"PM";"F";"1";"A";"D";"0";2019;15.3
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2009;218
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2011;195
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";1991;10.4
"_T";"FERIND";"A";"41";"DEP";"PT";"F";"0";"A";"D";"0";2020;187
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1989;12.3
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2010;214
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1991;14
"_T";"FERIND";"A";"27";"REG";"PT";"F";"0";"A";"D";"0";1984;184
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1993;12.1
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";1992;9.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1997-09;12.6
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1995;11.4
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2010;223
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1990;12.1
"_T";"BRTHRT";"M";"FM";"FRANCE";"PM";"F";"1";"A";"D";"0";2004-05;11.9
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2013-06;12.2
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";1999;39
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2013;194
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2008;12.4
"_T";"FERIND";"A";"71";"DEP";"PT";"F";"0";"A";"D";"0";2013;200
"_T";"FERIND";"A";"91";"DEP";"PT";"F";"0";"A";"D";"0";2011;221
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";1991;15.2
"_T";"BRTHRT";"A";"76";"REG";"PM";"F";"1";"A";"D";"0";2018;9.8
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1996;11.5
"_T";"BRTHRT";"A";"47";"DEP";"PM";"F";"1";"A";"D";"0";1993;9.6
"Y35T48";"FERIND";"A";"94";"DEP";"PT";"F";"0";"A";"D";"0";2000;42
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";1995;11.9
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";1992;160
"_T";"BRTHRT";"A";"67";"DEP";"PM";"F";"1";"A";"D";"0";1993;13.1
"_T";"FERIND";"A";"61";"DEP";"PT";"F";"0";"A";"D";"0";2014;202
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";1993;14
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";1994;158
"_T";"FERIND";"A";"51";"DEP";"PT";"F";"0";"A";"D";"0";2016;182
"_T";"FERIND";"A";"81";"DEP";"PT";"F";"0";"A";"D";"0";2010;202
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1995;11.4
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";1999;11.9
"_T";"BRTHRT";"A";"08";"DEP";"PM";"F";"1";"A";"D";"0";2012;11.6
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2000;12.2
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";1998-01;12.5
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";1996;153
"_T";"BRTHRT";"A";"57";"DEP";"PM";"F";"1";"A";"D";"0";2000;11.9
"_T";"BRTHRT";"A";"29";"DEP";"PM";"F";"1";"A";"D";"0";1996;11.5
"_T";"BRTHRT";"A";"37";"DEP";"PM";"F";"1";"A";"D";"0";2001;12
"_T";"BRTHRT";"M";"F";"FRANCE";"PM";"F";"1";"A";"D";"0";2013-11;12.4
"_T";"BRTHRT";"A";"77";"DEP";"PM";"F";"1";"A";"D";"0";1997;14
"_T";"FERIND";"A";"94";"REG";"PT";"F";"0";"A";"D";"0";1998;157
